AstroMenace gamedata size report
================================

Top-level directories/files:
36K	gamedata/glsl
0.75 MiB	gamedata/skybox/1/skybox_top3.tga
0.75 MiB	gamedata/skybox/1/skybox_right1.tga
0.75 MiB	gamedata/skybox/1/skybox_left2.tga
0.75 MiB	gamedata/skybox/1/skybox_front5.tga
0.75 MiB	gamedata/skybox/1/skybox_bottom4.tga
0.75 MiB	gamedata/skybox/1/skybox_back6.tga
0.75 MiB	gamedata/models/spacebase/metal.tga
0.75 MiB	gamedata/models/normalmap/buildings_nm.tga
0.75 MiB	gamedata/models/normalmap/bomber_nm.tga
0.75 MiB	gamedata/models/normalmap/alien_mothership_nm.tga
0.75 MiB	gamedata/models/earthfighter/rockets.tga
0.75 MiB	gamedata/models/earthfighter/lnch34.tga
0.75 MiB	gamedata/models/earthfighter/lnch12.tga
0.75 MiB	gamedata/loading/viewizardlogo.tga
0.69 MiB	gamedata/menu/dialog512_256.tga
0.69 MiB	gamedata/menu/panel444_333_border.tga
0.62 MiB	gamedata/menu/panel444_333_back.tga
0.56 MiB	gamedata/skybox/tile_back.tga
0.50 MiB	gamedata/models/planet/asteroid.tga
0.50 MiB	gamedata/menu/astromenace.tga
0.49 MiB	gamedata/font/LinBiolinum_RB.otf
0.48 MiB	gamedata/menu/workshop_panel2.tga
0.48 MiB	gamedata/menu/workshop_panel2+.tga
0.41 MiB	gamedata/font/LinLibertine_RB.otf
0.38 MiB	gamedata/models/normalmap/planet_asteroids_nm.tga
0.35 MiB	gamedata/sfx/weaponfire19.wav
0.35 MiB	gamedata/font/LiberationSerif-Bold.ttf
0.34 MiB	gamedata/sfx/weaponfire15.wav
0.34 MiB	gamedata/game/game_panel2.tga
0.34 MiB	gamedata/font/LiberationSans-Bold.ttf
0.34 MiB	gamedata/sfx/explosion3.wav
0.34 MiB	gamedata/sfx/menu_selectline.wav
0.33 MiB	gamedata/sfx/weaponfire18.wav
0.31 MiB	gamedata/sfx/explosion2.wav
0.29 MiB	gamedata/font/FreeSansBold.otf
0.29 MiB	gamedata/game/game_panel.tga
0.29 MiB	gamedata/font/LiberationMono-Bold.ttf
0.26 MiB	gamedata/menu/workshop_panel1.tga
0.26 MiB	gamedata/menu/workshop_panel1+.tga
0.25 MiB	gamedata/sfx/weaponfire13.wav
0.25 MiB	gamedata/lang/ru/voice/ReactorMalfunction.wav
0.25 MiB	gamedata/skybox/tile_stars.tga
0.25 MiB	gamedata/lang/ru/voice/PowerSupplyReestablished.wav
0.25 MiB	gamedata/menu/weapon_empty_icon.tga
0.25 MiB	gamedata/menu/back_spot2.tga
0.25 MiB	gamedata/menu/back_spot.tga
0.25 MiB	gamedata/game/game_panel_el.tga
0.24 MiB	gamedata/lang/ru/voice/EngineMalfunction.wav
0.24 MiB	gamedata/lang/ru/voice/WeaponMalfunction.wav
0.24 MiB	gamedata/sfx/explosion1.wav
0.24 MiB	gamedata/lang/ru/voice/WeaponDestroyed.wav
0.24 MiB	gamedata/models/spacebase/6/1.vw3d
0.23 MiB	gamedata/models/spacebase/2/5.vw3d
0.23 MiB	gamedata/lang/ru/voice/PrepareForAction.wav
0.23 MiB	gamedata/models/spacebase/6/3.vw3d
0.23 MiB	gamedata/sfx/menu_new.wav
0.23 MiB	gamedata/models/spacebase/6/5.vw3d
0.23 MiB	gamedata/models/spacebase/2/3.vw3d
0.23 MiB	gamedata/lang/ru/voice/WeaponDamaged.wav
0.23 MiB	gamedata/models/spacebase/2/4.vw3d
0.23 MiB	gamedata/models/spacebase/2/2.vw3d
0.22 MiB	gamedata/models/spacebase/8/1.vw3d
0.22 MiB	gamedata/models/spacebase/2/1.vw3d
0.22 MiB	gamedata/models/spacebase/8/2.vw3d
0.22 MiB	gamedata/lang/ru/voice/MissileDetected.wav
0.22 MiB	gamedata/models/spacebase/6/4.vw3d
0.22 MiB	gamedata/models/spacebase/8/3.vw3d
0.21 MiB	gamedata/models/spacebase/8/5.vw3d
0.21 MiB	gamedata/models/spacebase/8/4.vw3d
0.21 MiB	gamedata/sfx/weaponfire11.wav
0.21 MiB	gamedata/sfx/weaponfire12.wav
0.20 MiB	gamedata/sfx/kinetichit.wav
0.20 MiB	gamedata/sfx/drag_offslot.wav
0.19 MiB	gamedata/font/FreeMonoBold.otf
0.19 MiB	gamedata/lang/de/voice/PowerSupplyReestablished.wav
0.19 MiB	gamedata/models/turret/turrets.tga
0.19 MiB	gamedata/models/mine/mine4i.tga
0.19 MiB	gamedata/models/mine/mine4.tga
0.19 MiB	gamedata/models/mine/mine3i.tga
0.19 MiB	gamedata/models/mine/mine3.tga
0.19 MiB	gamedata/models/mine/mine2i.tga
0.19 MiB	gamedata/models/mine/mine2.tga
0.19 MiB	gamedata/models/mine/mine1i.tga
0.19 MiB	gamedata/models/mine/mine1.tga
0.19 MiB	gamedata/menu/button384_back.tga
0.19 MiB	gamedata/menu/button256_back.tga
0.19 MiB	gamedata/sfx/menu_online.wav
0.18 MiB	gamedata/sfx/weaponfire8.wav
0.18 MiB	gamedata/sfx/game_showmenu.wav

Language directory sizes:
32K	gamedata/lang/pl
1.3M	gamedata/lang/en
1.7M	gamedata/lang/de
2.7M	gamedata/lang/ru
5.6M	gamedata/lang

Audio files total:
18.99 MiB

TGA files total:
54.69 MiB
